Period,Phase,GameTime,SecondsSinceStart,Player,Group,XLoc,YLoc,EventName,ChatText,BlueNear,RedNear,YellowNear,CaptureType,CaptureResult,DestinationX,DestinationY,PotX,PotY,TransferType,TransferTarget,TransferAmount,OtherInfo
1,hunting,66,4.8914891,Red,1,5000,870,New Destination,,,,,,,5159,634,
1,hunting,65,5.8495849,Yellow,1,5000,870,New Destination,,,,,,,4900,587,
1,hunting,56,14.9124911,Yellow,1,4900,587,New Destination,,,,,,,4731,448,
1,hunting,55,15.5255524,Yellow,1,4847.5,534.5,New Destination,,,,,,,4882,408,
1,hunting,54,16.4836482,Blue,1,5000,870,New Destination,,,,,,,5126,707,
1,hunting,53,17.2927291,Blue,1,5126,730,New Destination,,,,,,,5029,573,
1,hunting,39,31.8921889,Blue,1,5029,573,New Destination,,,,,,,4584,562,
1,hunting,38,33.0613058,Blue,1,4955.5,562,New Destination,,,,,,,4340,560,
1,hunting,37,34.0394036,Blue,1,4801.5,560,New Destination,,,,,,,4149,461,
1,hunting,36,34.5724569,Blue,1,4668.5,500.5,New Destination,,,,,,,4077,384,
1,hunting,34,36.9266923,Blue,1,4416.5,384,New Destination,,,,,,,4136,147,
1,hunting,34,37.3387335,Blue,1,4416.5,384,New Destination,,,,,,,3955,267,
1,hunting,33,38.2108207,Blue,1,4269.5,296.5,New Destination,,,,,,,3781,377,
1,hunting,32,39.0379034,Blue,1,4133,312.5,New Destination,,,,,,,3663,495,
1,hunting,31,40.0270023,Blue,1,3993,450.5,New Destination,,,,,,,3417,483,
1,hunting,30,41.2961292,Blue,1,3846,483,New Destination,,,,,,,3235,467,
1,hunting,29,42.3602356,Blue,1,3713,467,New Destination,,,,,,,3089,451,
1,hunting,27,43.9803976,Blue,1,3426,451,New Destination,,,,,,,2951,335,
1,hunting,23,48.5618557,Blue,1,2951,335,Capture,,,,,Large,Fail,
1,hunting,21,50.2940289,Blue,1,2951,335,New Destination,,,,,,,2836,467,
1,hunting,18,53.0773072,Blue,1,2836,467,Capture,,,,,Large,Fail,
1,hunting,17,53.9463941,Blue,1,2836,467,New Destination,,,,,,,2647,519,
1,hunting,17,54.3404335,Blue,1,2836,467,New Destination,,,,,,,2453,521,
1,hunting,16,55.4605455,Blue,1,2713.5,521,New Destination,,,,,,,2353,351,
1,hunting,14,57.6787673,Blue,1,2423,351,Capture,,,,,Large,Fail,
1,hunting,12,59.0779072,Blue,1,2353,351,New Destination,,,,,,,2668,442,
1,hunting,12,59.565956,Blue,1,2353,351,New Destination,,,,,,,2912,525,
