Period,Phase,GameTime,SecondsSinceStart,Player,Group,XLoc,YLoc,EventName,ChatText,BlueNear,RedNear,YellowNear,CaptureType,CaptureResult,DestinationX,DestinationY,PotX,PotY,TransferType,TransferTarget,TransferAmount,OtherInfo
1,hunting,68,2.0912091,Red,1,5000,870,New Destination,,,,,,,5009,593,
1,hunting,67,3.3253325,Yellow,1,5000,870,New Destination,,,,,,,4841,637,
1,hunting,65,5.5245524,Blue,1,5000,870,New Destination,,,,,,,5174,693,
1,hunting,45,26.0576055,Blue,1,5174,693,New Destination,,,,,,,4814,446,
1,hunting,44,26.8866884,Blue,1,5125,644,New Destination,,,,,,,4650,420,
1,hunting,43,28.0068004,Blue,1,4957,476,New Destination,,,,,,,4412,494,
1,hunting,41,29.9859983,Blue,1,4677,494,New Destination,,,,,,,3938,443,
1,hunting,36,34.9724969,Blue,1,3949,443,New Destination,,,,,,,3289,314,
1,hunting,32,38.573857,Blue,1,3434,314,New Destination,,,,,,,2898,569,
1,hunting,30,41.1391135,Blue,1,3150.5,569,New Destination,,,,,,,2510,453,
1,hunting,26,45.4895485,Blue,1,2632.5,453,Capture,,,,,Large,Fail,
1,hunting,23,48.0418037,Blue,1,2510,453,New Destination,,,,,,,2279,515,
1,hunting,20,51.4761471,Blue,1,2279,515,Capture,,,,,Large,Fail,
1,hunting,19,52.1372132,Blue,1,2279,515,New Destination,,,,,,,2006,577,
1,hunting,18,52.8402835,Blue,1,2184.5,577,New Destination,,,,,,,1709,544,
1,hunting,18,53.7273722,Blue,1,2184.5,577,New Destination,,,,,,,1566,529,
1,hunting,16,54.975497,Blue,1,1901,529,New Destination,,,,,,,1416,647,
1,hunting,15,56.0626057,Blue,1,1768,630.5,New Destination,,,,,,,1253,549,
1,hunting,15,56.7596754,Blue,1,1768,630.5,New Destination,,,,,,,1126,381,
1,hunting,13,58.1898184,Blue,1,1495,409,New Destination,,,,,,,1295,461,
1,hunting,9,62.246224,Blue,1,1295,461,Capture,,,,,Large,Success,
1,hunting,9,62.8072801,Blue,1,1295,461,New Destination,,,,,,,1752,437,
1,hunting,7,63.9073901,Blue,1,1480.5,437,New Destination,,,,,,,2110,551,
1,hunting,6,65.3475341,Blue,1,1631,551,New Destination,,,,,,,2343,630,
1,hunting,5,66.7236717,Blue,1,1760.5,624.5,New Destination,,,,,,,2514,602,
1,hunting,3,68.5258519,Blue,1,2030,602,New Destination,,,,,,,2746,574,
1,hunting,1,70.4800473,Blue,1,2310,574,New Destination,,,,,,,3016,564,
1,trading,600,70.9880981,Blue,1,2310,574,New Destination,,,,,,,3560,564,
1,trading,593,78.7138706,Blue,1,3465,564,New Destination,,,,,,,3983,364,
1,trading,592,79.3439336,Blue,1,3616,508,New Destination,,,,,,,4121,540,
1,trading,590,81.2971289,Yellow,1,4841,637,New Destination,,,,,,,4739,535,
1,trading,590,81.9461938,Yellow,1,4841,637,New Destination,,,,,,,4579,537,
1,trading,578,93.9083899,Yellow,1,4579,537,Chat,Can I have some Hexagons?,1,1,1,,
1,trading,576,95.6645655,Blue,1,4121,540,New Destination,,,,,,,4267,541,
1,trading,572,99.6179608,Blue,1,4267,541,Chat,no!,1,0,1,,
1,trading,570,101.9821972,Yellow,1,4579,537,Stun,,,,,,,,,,,,Blue,,
1,trading,558,113.7493738,Yellow,1,4579,537,Stun,,,,,,,,,,,,Blue,,
1,trading,554,117.9307919,Yellow,1,4579,537,Tug Start,,,,,,,,,,,,Blue,,
1,trading,548,123.9673955,Yellow,1,4579,537,Transfer Units,,,,,,,,,,,Blue -> Me,Blue,18,,
1,trading,548,123.9673955,Blue,1,4179,537,Tug Yield,,,,,,,,,,,,Yellow,,
1,trading,545,127.4037391,Blue,1,4179,537,Chat,fine!,1,0,1,,
1,trading,544,128.5288516,Blue,1,4179,537,New Destination,,,,,,,4076,712,
1,trading,543,129.6969684,Blue,1,4133.5,582.5,New Destination,,,,,,,3965,624,
1,trading,542,130.5810568,Blue,1,4055,691,New Destination,,,,,,,3739,318,
1,trading,540,131.9101897,Blue,1,3772.5,431.5,New Destination,,,,,,,3956,83,
1,trading,538,134.0134,Blue,1,3956,180,New Destination,,,,,,,4006,319,
1,trading,534,138.5798566,Red,1,5009,593,New Destination,,,,,,,4769,421,
1,trading,532,140.0820068,Red,1,4837.5,421,New Destination,,,,,,,4674,317,
1,trading,532,140.7160702,Red,1,4837.5,421,New Destination,,,,,,,4390,286,
1,trading,531,141.2821268,Red,1,4725.5,323,New Destination,,,,,,,4288,263,
1,trading,531,141.7991785,Red,1,4725.5,323,New Destination,,,,,,,4210,307,
1,trading,530,142.5002486,Red,1,4610,284,New Destination,,,,,,,4171,287,
1,trading,529,143.8163802,Red,1,4487.5,287,New Destination,,,,,,,4381,312,
1,trading,527,145.1805166,Red,1,4381,312,New Destination,,,,,,,4318,299,
