Period,Phase,GameTime,SecondsSinceStart,Player,Group,XLoc,YLoc,EventName,ChatText,BlueNear,RedNear,YellowNear,GreenNear,PurpleNear,OrangeNear,CaptureType,CaptureResult,DestinationX,DestinationY,PotX,PotY,TransferType,TransferTarget,TransferAmount,OtherInfo
1,hunting,32,7.6128488,Red,1,3277,489.5,New Destination,,,,,,,,,,2647,495,
1,hunting,32,7.644049,Green,1,4329,804.5,New Destination,,,,,,,,,,3599,860,
1,hunting,32,7.6752492,Orange,2,5202.5,860,New Destination,,,,,,,,,,4477,812,
1,hunting,32,7.6908493,Yellow,1,3894,702,New Destination,,,,,,,,,,3194,698,
1,hunting,32,7.7688498,Blue,1,3557.5,377.5,New Destination,,,,,,,,,,2900,186,
1,hunting,32,7.9716511,Blue,1,3557.5,377.5,New Destination,,,,,,,,,,2844,186,
1,hunting,32,8.0340515,Red,1,3277,489.5,New Destination,,,,,,,,,,2563,621,
1,hunting,32,8.0340515,Yellow,1,3894,702,New Destination,,,,,,,,,,3143,671,
1,hunting,32,8.0340515,Green,1,4329,804.5,New Destination,,,,,,,,,,3518,823,
1,hunting,32,8.1432522,Orange,2,5202.5,860,New Destination,,,,,,,,,,4365,763,
1,hunting,31,8.4084539,Blue,1,3344,199.5,New Destination,,,,,,,,,,2812,274,
1,hunting,31,8.4084539,Yellow,1,3691,671,New Destination,,,,,,,,,,3056,679,
1,hunting,31,8.424054,Green,1,4133,823,New Destination,,,,,,,,,,3453,771,
1,hunting,31,8.5176546,Yellow,1,3691,671,New Destination,,,,,,,,,,3010,697,
1,hunting,31,8.6268553,Red,1,3084.5,540.5,New Destination,,,,,,,,,,2452,588,
1,hunting,31,8.6892557,Orange,2,4982,770,New Destination,,,,,,,,,,4254,756,
1,hunting,31,8.7516561,Green,1,4133,823,New Destination,,,,,,,,,,3394,720,
1,hunting,31,8.9856576,Red,1,3084.5,540.5,New Destination,,,,,,,,,,2375,558,
1,hunting,31,9.0012577,Blue,1,3344,199.5,New Destination,,,,,,,,,,2633,418,
