Period,PlayerA,PlayerB,ColorA,ColorB,AmountSentA->B,AmountTakeA<-B,TimesTakenA<-B,TotalAmountSentA->B,TotalAmountTakeA<-B,TotalTimesTakenA<-B,AmountCapturedA,SideA,HealthA,TotalSideLeftA,TotalSideRightA,TotalTimeSentA->B>18,AmountSentA->Others,AmountTakeA<-Others,TimesTakenA<-Others,AmountSentOthers->A,AmountTakeOthers<-A,TimesTakenOthers<-A,TotalAmountSentA->Others,TotalAmountTakeA<-Others,TotalTimesTakenA<-Others,TotalAmountSentOthers->A,TotalAmountTakeOthers<-A,TotalTimesTakenOthers<-A,AmountSentB->A,AmountTakeB<-A,TimesTakenB<-A,TotalAmountSentB->A,TotalAmountTakeB<-A,TotalTimesTakenB<-A,AmountCapturedB,SideB,HealthB,TotalSideLeftB,TotalSideRightB,TotalTimeSentB->A>18,AmountSentB->Others,AmountTakeB<-Others,TimesTakenB<-Others,AmountSentOthers->B,AmountTakeOthers<-B,TimesTakenOthers<-B,TotalAmountSentB->Others,TotalAmountTakeB<-Others,TotalTimesTakenB<-Others,TotalAmountSentOthers->B,TotalAmountTakeOthers<-B,TotalTimesTakeOthers<-B,APotNearBPot,HealthLostAFromB,HealthLostBFromA,TugsStartedA->B,TugsStartedA<-B,TimesAHelpedBTug,TimesBHelpedATug,TimesAHurtBTug,TimesBHurtATug,HealthALostForB,HealthBLostForA
1,4,5,Green,Purple,0,0,0,0,0,0,0,left,74.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,left,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,
1,4,6,Green,Orange,0,0,0,0,0,0,0,left,74.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,left,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,
1,5,1,Purple,Blue,0,0,0,0,0,0,24,left,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,left,97,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,
1,5,2,Purple,Red,0,0,0,0,0,0,24,left,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,left,86.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,
1,5,3,Purple,Yellow,0,0,0,0,0,0,24,left,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left,97,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,
1,5,4,Purple,Green,0,0,0,0,0,0,24,left,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left,74.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,
1,5,6,Purple,Orange,0,0,0,0,0,0,24,left,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,left,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,
1,6,1,Orange,Blue,0,0,0,0,0,0,48,left,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,left,97,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,
1,6,2,Orange,Red,0,0,0,0,0,0,48,left,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,left,86.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,
1,6,3,Orange,Yellow,0,0,0,0,0,0,48,left,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left,97,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,
1,6,4,Orange,Green,0,0,0,0,0,0,48,left,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left,74.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,
1,6,5,Orange,Purple,0,0,0,0,0,0,48,left,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,left,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,
2,1,2,Blue,Red,0,0,0,0,0,0,0,left,100,24,0,0,0,12,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,24,left,85,24,0,0,0,10,1,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,
2,1,3,Blue,Yellow,0,12,1,12,0,0,0,left,100,24,0,0,0,12,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,48,left,98.5,0,0,0,0,0,0,0,22,2,0,0,0,12,0,0,false,1,1,1,0,0,0,0,0,0,0,
2,1,4,Blue,Green,0,0,0,0,0,0,0,left,100,24,0,0,0,12,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,72,left,74.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,
2,1,5,Blue,Purple,0,0,0,0,0,0,0,left,100,24,0,0,0,12,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,24,left,88.5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,
2,1,6,Blue,Orange,0,0,0,0,0,0,0,left,100,24,0,0,0,12,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,24,left,88.5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,
2,2,1,Red,Blue,0,0,0,0,0,0,24,left,85,24,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left,100,24,0,0,0,12,1,0,0,0,12,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,
2,2,3,Red,Yellow,0,10,1,0,0,0,24,left,85,24,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,left,98.5,0,0,0,0,0,0,0,22,2,0,0,0,12,0,0,false,0.5,1.5,1,0,0,0,0,1,0,0,
2,2,4,Red,Green,0,0,0,0,0,0,24,left,85,24,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,left,74.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,5,4,1,0,0,0,0,0,0,0,
2,2,5,Red,Purple,0,0,0,0,0,0,24,left,85,24,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,left,88.5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,
2,2,6,Red,Orange,0,0,0,0,0,0,24,left,85,24,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,left,88.5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,
2,3,1,Yellow,Blue,0,0,0,0,0,0,48,left,98.5,0,0,0,0,0,0,0,22,2,0,0,0,12,0,0,0,12,1,12,0,0,0,left,100,24,0,0,0,12,1,0,0,0,12,0,0,0,0,0,false,1,1,0,1,0,0,0,0,0,0,
2,3,2,Yellow,Red,0,0,0,0,0,0,48,left,98.5,0,0,0,0,0,0,0,22,2,0,0,0,12,0,0,0,10,1,0,0,0,24,left,85,24,0,0,0,10,1,0,0,0,0,0,0,0,0,0,false,1.5,0.5,0,1,0,0,1,0,0,0,
